id,title,abstract,tags
abdullah2014thea,The architecture of risk for type 2 diabetes: Understanding asia in the context of global findings,"<jats:p>The prevalence of Type 2 diabetes is rising rapidly in both developed and developing countries. Asia is developing as the epicentre of the escalating pandemic, reflecting rapid transitions in demography, migration, diet, and lifestyle patterns. The effective management of Type 2 diabetes in Asia may be complicated by differences in prevalence, risk factor profiles, genetic risk allele frequencies, and gene-environment interactions between different Asian countries, and between Asian and other continental populations. To reduce the worldwide burden of T2D, it will be important to understand the architecture of T2D susceptibility both within and between populations. This review will provide an overview of known genetic and nongenetic risk factors for T2D, placing the results from Asian studies in the context of broader global research. Given recent evidence from large-scale genetic studies of T2D, we place special emphasis on emerging knowledge about the genetic architecture of T2D and the potential contribution of genetic effects to population differences in risk.</jats:p>","Asia, Genetic Association Studies, Genomic Association Studies, Type 2 Diabetes"
abdullah2018diffe,Differing contributions of classical risk factors to type 2 diabetes in multi-ethnic Malaysian populations,"<jats:p>The prevalence of type 2 diabetes is escalating rapidly in Asian countries, with the rapid increase likely attributable to a combination of genetic and lifestyle factors. Recent research suggests that common genetic risk variants contribute minimally to the rapidly rising prevalence. Rather, recent changes in dietary patterns and physical activity may be more important. This nested case-control study assessed the association and predictive utility of type 2 diabetes lifestyle risk factors in participants from Malaysia, an understudied Asian population with comparatively high disease prevalence. The study sample comprised 4077 participants from The Malaysian Cohort project and included sub-samples from the three major ancestral groups: Malay (n = 1323), Chinese (n = 1344) and Indian (n = 1410). Association of lifestyle factors with type 2 diabetes was assessed within and across ancestral groups using logistic regression. Predictive utility was quantified and compared between groups using the Area Under the Receiver-Operating Characteristic Curve (AUC). In predictive models including age, gender, waist-to-hip ratio, physical activity, location, family history of diabetes and average sleep duration, the AUC ranged from 0.76 to 0.85 across groups and was significantly higher in Chinese than Malays or Indians, likely reflecting anthropometric differences. This study suggests that obesity, advancing age, a family history of diabetes and living in a rural area are important drivers of the escalating prevalence of type 2 diabetes in Malaysia.</jats:p>","Chronic Kidney Disease, Genetic Association Studies, Longitudinal Study, Regression Analysis."
acharya2024spill,"Spillover effects from a type 2 diabetes integrated model of care in 22,706 Australians: an open cohort stepped wedge trial","<jats:title>Abstract</jats:title><jats:sec>
<jats:title>Background</jats:title>
<jats:p>Many Australian adults are not receiving timely or effective diabetes management to prevent or delay the onset of diabetes related complications. Integrated care, a worldwide trend in healthcare reform, aims to reduce the fragmented delivery of health services and improve outcomes. This study aimed to test whether a specialist-led integrated model of care provided to a small subset of patients in general practices leads to spillover clinical improvements in all patients of the practice with type 2 diabetes.</jats:p>
</jats:sec><jats:sec>
<jats:title>Methods</jats:title>
<jats:p>Seventy-two general practice sites (clusters) in New South Wales, Australia received the Diabetes Alliance intervention, creating a non-randomised open cohort stepped wedge trial. The intervention comprised of case conferencing, delivered directly to a small proportion of adults with type 2 diabetes (<jats:italic>n</jats:italic> = 1,072) of the general practice sites; as well as practice feedback, education and training. Spillover clinical improvements were assessed on all adults with type 2 diabetes within the general practice sites (<jats:italic>n</jats:italic> = 22,706), using practice level data recorded in the MedicineInsight electronic database, compared before and after the intervention. Outcome measures included frequency of diabetes screening tests in line with the Annual Cycle of Care, and clinical results for weight, blood pressure, HbA1c, lipids, and kidney function.</jats:p>
</jats:sec><jats:sec>
<jats:title>Results</jats:title>
<jats:p>Compared to before Diabetes Alliance, the odds of all practice patients receiving screening tests at or above the recommended intervals were significantly higher for all recommended tests after Diabetes Alliance (odds ratio range 1.41–4.45, <jats:italic>p</jats:italic> &lt; 0.0001). Significant improvements in clinical outcomes were observed for weight (absolute mean difference: -1.38 kg), blood pressure (systolic − 1.12 mmHg, diastolic − 1.18 mmHg), HbA1c (-0.03% at the mean), total cholesterol (-0.11 mmol/L), and triglycerides (-0.02 mmol/L) (<jats:italic>p</jats:italic> &lt; 0.05). There were small but significant declines in kidney function.</jats:p>
</jats:sec><jats:sec>
<jats:title>Conclusions</jats:title>
<jats:p>Integrated care delivered to a small subset of patients with type 2 diabetes across a large geographic region has spillover benefits that improve the process measures and clinical outcomes for all practice patients with type 2 diabetes.</jats:p>
</jats:sec><jats:sec>
<jats:title>Trial registration</jats:title>
<jats:p>ACTRN12622001438741; 10th November 2022, retrospectively registered: <jats:ext-link xmlns:xlink=""http://www.w3.org/1999/xlink"" ext-link-type=""uri"" xlink:href=""https://www.anzctr.org.au/ACTRN12622001438741.aspx"">https://www.anzctr.org.au/ACTRN12622001438741.aspx</jats:ext-link>.</jats:p>
</jats:sec>","Diabetes, Electronic Health Records, Randomised Controlled Trial"
allan2020aste,A stepped wedge trial of efficacy and scalability of a virtual clinical pharmacy service (VCPS) in rural and remote NSW health facilities,"<jats:title>Abstract</jats:title><jats:sec>
<jats:title>Background</jats:title>
<jats:p>Medication errors are a leading cause of mortality and morbidity. Clinical pharmacy services provided in hospital can reduce medication errors and medication related harm. However, few rural or remote hospitals in Australia have a clinical pharmacy service. This study will evaluate a virtual clinical pharmacy service (VCPS) provided via telehealth to eight rural and remote hospitals in NSW, Australia.</jats:p>
</jats:sec><jats:sec>
<jats:title>Methods</jats:title>
<jats:p>A stepped wedge cluster randomised trial design will use routinely collected data from patients’ electronic medical records (<jats:italic>n</jats:italic> = 2080) to evaluate the VCPS at eight facilities. The sequence of steps is randomised, allowing for control of potential confounding temporal trends. Primary outcomes are number of medication reconciliations completed on admission and discharge. Secondary outcomes are length of stay, falls and 28 day readmissions. A cost-effectiveness analysis (CEA) and cost-benefit analysis (CBA) will be conducted. The CEA will answer the question of whether the VCPS is more cost-effective compared to treatment as usual; the CBA will consider the rate of return on investing in the VCPS. A patient experience measure (<jats:italic>n</jats:italic> = 500) and medication adherence questionnaire (<jats:italic>n</jats:italic> = 100 pre and post) will also be used to identify patient responses to the virtual service. Focus groups will investigate implementation from hospital staff perspectives at each site.</jats:p>
<jats:p>Analyses of routine data will comprise generalised linear mixed models. Descriptive statistical analysis will summarise patient experience responses. Differences in medication adherence will be compared using linear regression models. Thematic analysis of focus groups will identify barriers and facilitators to VCPS implementation.</jats:p>
</jats:sec><jats:sec>
<jats:title>Discussion</jats:title>
<jats:p>We aim to demonstrate the effectiveness of virtual pharmacy interventions for rural populations, and inform best practice for using virtual healthcare to improve access to pharmacy services. It is widely recognised that clinical pharmacists are best placed to reduce medication errors. However, pharmacy services are limited in rural and remote hospitals. This project will provide evidence about ways in which the benefits of hospital pharmacists can be maximised utilising telehealth technology. If successful, this project can provide a model for pharmacy delivery in rural and remote locations.</jats:p>
</jats:sec><jats:sec>
<jats:title>Trial registration</jats:title>
<jats:p>Australian New Zealand Clinical Trials Registry (ANZCTR) -ACTRN12619001757101 Prospectively registered on 11 December 2019. Record available from: <jats:ext-link xmlns:xlink=""http://www.w3.org/1999/xlink"" ext-link-type=""uri"" xlink:href=""https://www.anzctr.org.au/Trial/Registration/TrialReview.aspx?id=378878&amp;isReview=true"">https://www.anzctr.org.au/Trial/Registration/TrialReview.aspx?id=378878&amp;isReview=true</jats:ext-link></jats:p>
</jats:sec>","Electronic Health Records, Randomised Controlled Trial, Rural Communities"
ampofo2023preva,Prevalence and correlates of modifiable risk factors for cervical cancer and HPV infection among senior high school students in Ghana: a latent class analysis,"<jats:title>Abstract</jats:title>
<jats:p><jats:bold>Background</jats:bold>While health risk behaviours are likely to co-occur, there is a dearth of studies exploring the clustering of cervical cancer and HPV infection risk factors among adolescents. This study aimed to determine: 1) the prevalence of modifiable risk factors for cervical cancer and HPV infection, 2) the clustering of modifiable risk factors for cervical cancer and HPV infection, and 3) factors associated with the identified clusters. <jats:bold>Methods</jats:bold>Female students (aged 16-24 years, N=2400) recruited from 17 randomly selected senior high schools in the Ashanti Region, Ghana completed a questionnaire assessing modifiable risk factors for cervical cancer and HPV infection including early sexual intercourse (&gt;18 years), unprotected sex and smoking. Latent class analysis explored separate classes of students according to their risk factor profiles for cervical cancer and HPV infection. Latent class regression analysis explored factors associated with latent class memberships. <jats:bold>Results</jats:bold>Approximately one in three students (34%, 95%CI: 32%-36%) reported exposure to at least one risk factor. Two separate classes emerged: high-risk and low-risk (cervical cancer: 24% and 76% of students, respectively; HPV infection: 26% and 74% of students, respectively). Participants with higher risk factor knowledge had significantly higher odds of belonging to cervical cancer and HPV infection high-risk classes. Participants with greater perceived susceptibility to cervical cancer and HPV infection were more likely to belong to the high-risk HPV infection class. Sociodemographic characteristics and greater perceived seriousness about cervical cancer and HPV infection had significantly lower odds of belonging to both high-risk classes. <jats:bold>Conclusions</jats:bold>The distinction between high and low-risk classes for cervical cancer and HPV infection risk factors suggests the need to tailor different health interventions targeting students who are at risk, especially in resource-constrained situations and settings.</jats:p>","Adolescents, Hpv Infection, School Children, Smoking, Surveys"
ampofo2024preva,Prevalence and Correlates of Cervical Cancer Prevention Knowledge Among High School Students in Ghana,"<jats:title>Abstract</jats:title>
<jats:p><jats:bold>Background</jats:bold>While health risk behaviours are likely to co-occur, there is a dearth of studies exploring the clustering of cervical cancer and HPV infection risk factors among adolescents. This study aimed to determine: 1) the prevalence of modifiable risk factors for cervical cancer and HPV infection, 2) the clustering of modifiable risk factors for cervical cancer and HPV infection, and 3) factors associated with the identified clusters. <jats:bold>Methods</jats:bold>Female students (aged 16-24 years, N=2400) recruited from 17 randomly selected senior high schools in the Ashanti Region, Ghana completed a questionnaire assessing modifiable risk factors for cervical cancer and HPV infection including early sexual intercourse (&gt;18 years), unprotected sex and smoking. Latent class analysis explored separate classes of students according to their risk factor profiles for cervical cancer and HPV infection. Latent class regression analysis explored factors associated with latent class memberships. <jats:bold>Results</jats:bold>Approximately one in three students (34%, 95%CI: 32%-36%) reported exposure to at least one risk factor. Two separate classes emerged: high-risk and low-risk (cervical cancer: 24% and 76% of students, respectively; HPV infection: 26% and 74% of students, respectively). Participants with higher risk factor knowledge had significantly higher odds of belonging to cervical cancer and HPV infection high-risk classes. Participants with greater perceived susceptibility to cervical cancer and HPV infection were more likely to belong to the high-risk HPV infection class. Sociodemographic characteristics and greater perceived seriousness about cervical cancer and HPV infection had significantly lower odds of belonging to both high-risk classes. <jats:bold>Conclusions</jats:bold>The distinction between high and low-risk classes for cervical cancer and HPV infection risk factors suggests the need to tailor different health interventions targeting students who are at risk, especially in resource-constrained situations and settings.</jats:p>","Adolescents, Cancer, Smoking Cessation, Surveys"
anitaariyarajah2017asys,A Systematic Review and Meta-analysis Comparing Anticoagulation versus No Anticoagulation and Shorter versus Longer duration of Anticoagulation for Treatment of Isolated Distal Deep Vein Thrombosis,"<jats:title>Abstract</jats:title><jats:p>Isolated distal deep vein thrombosis (DVT) represents an important clinical problem but there is no consensus regarding its management. The aim of this review was to evaluate the safety, efficacy, and shorter versus longer duration of anticoagulation in patients with isolated distal DVT. A systematic search was conducted using MEDLINE, EMBASE, Cochrane Central Register of Controlled Trials, and Cochrane Database of Systemic Reviews. Studies reporting rates of symptomatic pulmonary embolism (PE), recurrent DVT, proximal extension, and/or major bleeding were included. Fourteen studies (six randomized controlled trials, eight cohorts) involving 2,918 patients met the eligibility criteria (with a total of 13 meeting criteria for the meta-analysis). Compared with no anticoagulation, anticoagulation was associated with a significant reduction in proximal extension (odds ratio [OR]: 0.29; 95% confidence interval [CI]: 0.13–0.67; p &lt; 0.004), recurrent DVT (OR: 0.16; 95% CI: 0.04–0.65; p = 0.01), and the composite end-point of proximal extension/PE (OR: 0.34; 95% CI: 0.16–0.72; p = 0.005); however, no significant differences in PE (OR: 0.47; 95% CI: 0.17–1.34; p = 0.16) or major bleeding (OR: 1.49; 95% CI: 0.33–6.86; p = 0.60) were observed. Anticoagulation for a longer duration (≥8 vs. ≤6 weeks) was associated with a significant reduction in proximal extension (OR: 0.23; 95% CI: 0.11–0.48; p &lt; 0.001) but not for other outcomes.</jats:p>","Meta-Analysis, Randomised Controlled Trial, Thrombolysis"
ashleighguillaumier2016self,Self-Exempting Beliefs and Intention to Quit Smoking within a Socially Disadvantaged Australian Sample of Smokers,"<jats:p>An investigation of beliefs used to rationalise smoking will have important implications for the content of anti-smoking programs targeted at socioeconomically disadvantaged groups, who show the lowest rates of cessation in the population. This study aimed to assess the types of self-exempting beliefs reported by a sample of socioeconomically disadvantaged smokers, and identify associations between these beliefs and other smoking-related factors with quit intentions. A cross-sectional survey was conducted from March–December 2012 with smokers seeking welfare assistance in New South Wales (NSW), Australia (n = 354; response rate 79%). Responses to a 16-item self-exempting beliefs scale and intention to quit, smoker identity, and enjoyment of smoking were assessed. Most participants earned &lt;AUD$400/week (70%), and had not completed secondary schooling (64%). All “jungle” beliefs (normalising the dangers of smoking due to ubiquity of risk) and selected “skeptic” beliefs were endorsed by 25%–47% of the sample, indicating these smokers may not fully understand the extensive risks associated with smoking. Smokers with limited quit intentions held significantly stronger self-exempting beliefs than those contemplating or preparing to quit (all p &lt; 0.01). After adjusting for smoking-related variables only “skeptic” beliefs were significantly associated with intention to quit (p = 0.02). Some of these beliefs are incorrect and could be addressed in anti-smoking campaigns.</jats:p>","Low-Income Groups, Smokers, Smoking Cessation, Substance Use, Surveys"
ashleykable2015nurse,Nurse provision of healthy lifestyle advice to people who are overweight or obese,"<jats:title>Abstract</jats:title><jats:p>A cross‐sectional survey was conducted in a regional area in <jats:styled-content style=""fixed-case"">A</jats:styled-content>ustralia to measure nurses' perceptions, practices, and knowledge in regard to providing healthy lifestyle advice to people who are overweight or obese. Responses were compared between geographic regions. Participation was voluntary and anonymous. Of the 79 nurse participants, 68% considered that provision of healthy lifestyle advice was within their scope of practice. Only 28% reported frequently estimating body mass index in the practice setting. Nurses often recommended increasing activity levels (44%), but recommended reducing daily caloric intake less often (25%). Nurses' knowledge about weight management was variable and the proportion of correct answers to knowledge items ranged from 33–99%. Nurses have many opportunities to deliver healthy lifestyle advice in a range of practice settings. The variation in practices and knowledge of nurses indicates a need for improved healthy lifestyle education for undergraduate and practicing nurses.</jats:p>","Cross-Sectional Study, Healthy Lifestyle Advice, Nurses, Obesity, Rural Communities"
ashleykable2017anev,An evaluation of discharge documentation for people with dementia discharged home from hospital {\textendash} A cross-sectional pilot study,"<jats:p> This study evaluated discharge documentation for people with dementia who were discharged home, against expected discharge criteria and determined relationships between compliance scores and outcomes. This cross-sectional study audited discharge documentation and conducted a post discharge survey of carers. There were 73 eligible discharges and clinically significant documentation deficits for people with dementia included: risk assessments of confusion (48%), falls and pressure injury (56%); provision of medication dose-decision aids (53%), provision of contact information for patient support groups (6%) and advance care planning (9%). There was no significant relationship between compliance scores and outcomes. Carer strain was reported to be high for many carers. People with dementia and their carers are more vulnerable and at higher risk of poor outcomes after discharge. There are opportunities for improved provision of medications and risk assessment for people with dementia, provision of information for patient support groups and advanced care planning. </jats:p>","Adolescents, Chronic Kidney Disease, Mental Health, Older Adults"
